number, connectivity, edgevalue, deviation, numSegments, front
1, -1232.625000, 56.768334, -998547.321470, 13, 0 
2, -863.875000, 62.845569, -1021422.642195, 8, 0 
3, -863.875000, 62.845569, -1021422.642195, 8, 0 
4, -820.750000, 66.232203, -1148593.727994, 6, 0 
5, -685.500000, 67.719371, -1175172.141480, 5, 0 
6, -339.000000, 65.169972, -1503465.482998, 3, 0 
7, -339.000000, 65.169972, -1503465.482998, 3, 0 
8, -339.000000, 65.169972, -1503465.482998, 3, 0 
9, -591.500000, 70.035225, -1721485.873283, 3, 0 
10, -504.375000, 71.934227, -1792136.757202, 2, 0 
11, -259.500000, 65.061533, -1818124.682146, 2, 0 
12, -252.500000, 42.239655, -1865142.104714, 2, 0 
13, -236.250000, 51.177753, -1873083.834213, 3, 0 
14, -156.750000, 63.121475, -2048346.851565, 3, 0 
15, -1259.875000, 57.896165, -1046029.700538, 11, 1 
16, -1007.125000, 60.211964, -1056020.847466, 9, 1 
17, -1125.375000, 60.447924, -1065404.502911, 11, 1 
18, -1060.875000, 61.986491, -1065804.458846, 10, 1 
19, -1060.125000, 61.720530, -1066993.101754, 10, 1 
20, -917.750000, 56.656870, -1160037.977384, 8, 1 
21, -981.250000, 60.828038, -1161150.551117, 9, 1 
22, -853.750000, 60.973001, -1195616.043859, 7, 1 
23, -989.250000, 61.102189, -1277997.104981, 6, 1 
24, -849.125000, 60.480588, -1359924.290299, 6, 1 
25, -799.625000, 59.576020, -1392157.128600, 7, 1 
26, -759.875000, 62.028297, -1408588.159959, 5, 1 
27, -724.750000, 56.712531, -1535226.206378, 6, 1 
28, -645.500000, 56.748113, -1539126.862676, 5, 1 
29, -830.875000, 64.092550, -1652793.218216, 6, 1 
30, -605.500000, 68.152611, -1734827.439360, 3, 1 
31, -668.000000, 68.965426, -1814642.716761, 3, 1 
32, -306.500000, 54.552535, -1868559.559744, 4, 1 
33, -434.500000, 58.359826, -2056690.524929, 4, 1 
34, -414.750000, 57.989985, -2057925.224841, 4, 1 
35, -329.500000, 58.290228, -2059321.545212, 3, 1 
36, -1072.250000, 58.217175, -1069160.510799, 8, 2 
37, -1052.375000, 56.650178, -1147573.272624, 5, 2 
38, -1013.000000, 57.600765, -1159252.081087, 7, 2 
39, -1044.250000, 61.130120, -1491870.478253, 6, 2 
40, -712.000000, 55.037921, -1540523.358452, 6, 2 
41, -891.375000, 61.971385, -1652707.203692, 7, 2 
42, -691.000000, 51.610379, -1718778.668103, 6, 2 
43, -709.750000, 52.497352, -1726588.440977, 6, 2 
44, -782.750000, 56.914725, -1750803.542368, 6, 2 
45, -676.500000, 61.854548, -1805100.571515, 5, 2 
46, -656.000000, 55.627322, -1953388.165957, 6, 2 
47, -561.875000, 53.715312, -1993350.917465, 5, 2 
48, -354.000000, 52.488025, -1999739.796209, 4, 2 
49, -354.000000, 52.488025, -1999739.796209, 4, 2 
50, -592.000000, 57.760717, -2057638.796739, 5, 2 
